"nom";"fichier";"est_diagramme";"est_preview";"chemin_source";"chemin_destination"
"probability";"probability.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\probability.png";"icons-study/07-icones-sources/sysml1/probability.png"
"problem";"problem.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\problem.png";"icons-study/07-icones-sources/sysml1/problem.png"
"propertyspecifictype";"propertyspecifictype.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\propertyspecifictype.png";"icons-study/07-icones-sources/sysml1/propertyspecifictype.png"
"providedinterface";"providedinterface.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\providedinterface.png";"icons-study/07-icones-sources/sysml1/providedinterface.png"
"quantitykind";"quantitykind.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\quantitykind.png";"icons-study/07-icones-sources/sysml1/quantitykind.png"
"quantitykind48";"quantitykind48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\quantitykind48.png";"icons-study/07-icones-sources/sysml1/quantitykind48.png"
"raisedexception";"raisedexception.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\raisedexception.png";"icons-study/07-icones-sources/sysml1/raisedexception.png"
"rate";"rate.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rate.png";"icons-study/07-icones-sources/sysml1/rate.png"
"rateparameter";"rateparameter.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rateparameter.png";"icons-study/07-icones-sources/sysml1/rateparameter.png"
"rationale";"rationale.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rationale.png";"icons-study/07-icones-sources/sysml1/rationale.png"
"reference";"reference.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\reference.png";"icons-study/07-icones-sources/sysml1/reference.png"
"refine";"refine.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\refine.png";"icons-study/07-icones-sources/sysml1/refine.png"
"requiredinterface";"requiredinterface.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\requiredinterface.png";"icons-study/07-icones-sources/sysml1/requiredinterface.png"
"requirement";"requirement.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\requirement.png";"icons-study/07-icones-sources/sysml1/requirement.png"
"signal";"signal.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\signal.png";"icons-study/07-icones-sources/sysml1/signal.png"
"smartgeneralization";"smartgeneralization.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\smartgeneralization.png";"icons-study/07-icones-sources/sysml1/smartgeneralization.png"
"smartimport";"smartimport.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\smartimport.png";"icons-study/07-icones-sources/sysml1/smartimport.png"
"statemachine";"statemachine.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\statemachine.png";"icons-study/07-icones-sources/sysml1/statemachine.png"
"sysml";"sysml.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysml.png";"icons-study/07-icones-sources/sysml1/sysml.png"
"sysmlactivitydiagram";"sysmlactivitydiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlactivitydiagram.png";"icons-study/07-icones-sources/sysml1/sysmlactivitydiagram.png"
"sysmlback";"sysmlback.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlback.png";"icons-study/07-icones-sources/sysml1/sysmlback.png"
"sysmldiagram";"sysmldiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmldiagram.png";"icons-study/07-icones-sources/sysml1/sysmldiagram.png"
"sysmlrequirementdiagram";"sysmlrequirementdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlrequirementdiagram.png";"icons-study/07-icones-sources/sysml1/sysmlrequirementdiagram.png"
"sysmlsequencediagram";"sysmlsequencediagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlsequencediagram.png";"icons-study/07-icones-sources/sysml1/sysmlsequencediagram.png"
"sysmlstatemachinediagram";"sysmlstatemachinediagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlstatemachinediagram.png";"icons-study/07-icones-sources/sysml1/sysmlstatemachinediagram.png"
"sysmlusecasediagram";"sysmlusecasediagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlusecasediagram.png";"icons-study/07-icones-sources/sysml1/sysmlusecasediagram.png"
"templatebinding";"templatebinding.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\templatebinding.png";"icons-study/07-icones-sources/sysml1/templatebinding.png"
"testcase";"testcase.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\testcase.png";"icons-study/07-icones-sources/sysml1/testcase.png"
